# obs_wvl flux error
2.969000000000000000e+03 2.378334472228779245e-14 3.587826724002696862e-16
2.974495562710337708e+03 2.333951676336874219e-14 2.456433381766839226e-16
2.979991125420675417e+03 2.426578604952174217e-14 2.455169104624472804e-16
2.985486688131013125e+03 2.333286937372024846e-14 2.530716038647782219e-16
2.990982250841350833e+03 2.265079144510735326e-14 2.248216884761746597e-16
2.996477813551688541e+03 2.113484550807656846e-14 2.149734101796915666e-16
3.001973376262026250e+03 2.068883970127211907e-14 2.254553104110542423e-16
3.007468938972363958e+03 2.183520081235888595e-14 2.696418137845764619e-16
3.012964501682701666e+03 2.023960165909162338e-14 2.053240545654478215e-16
3.018460064393039374e+03 2.016994739720392116e-14 2.113164356283029863e-16
3.023955627103377083e+03 2.024445449911376863e-14 1.922392796041707741e-16
3.029451189813714791e+03 2.027630650443909915e-14 1.880812380321939562e-16
3.034946752524052499e+03 2.065312825338324685e-14 1.854466335585296538e-16
3.040442315234390207e+03 2.047179027056127576e-14 1.807399208112971388e-16
3.045937877944727916e+03 2.064361048201560362e-14 1.749888637597538875e-16
3.051433440655065624e+03 2.029469636618684801e-14 1.709326185099515943e-16
3.056929003365403332e+03 2.025729461056590024e-14 1.750774054937358634e-16
3.062424566075741041e+03 2.027895812250596617e-14 1.692750685017245800e-16
3.067920128786078749e+03 2.029179294917537075e-14 1.636013933597686357e-16
3.073415691496416457e+03 2.059882240487163189e-14 1.696742215100287770e-16
3.078911254206754165e+03 2.026868598224964034e-14 1.597173870699637553e-16
3.084406816917091874e+03 2.068869629336310118e-14 1.775425392450650026e-16
3.089902379627429582e+03 2.014111209309289330e-14 1.563948241028484183e-16
3.095397942337767290e+03 2.008108407828538731e-14 1.541636172150290900e-16
3.100893505048104998e+03 1.974094202386865956e-14 1.518216890484389847e-16
3.106389067758442707e+03 2.013550423941655999e-14 1.491798801588613881e-16
3.111884630468780415e+03 2.071723135977206234e-14 1.525222465421932423e-16
3.117380193179118123e+03 2.099354028552790561e-14 1.622594420175815547e-16
3.122875755889455831e+03 2.141739312545723655e-14 1.508464983251241905e-16
3.128371318599793540e+03 2.147948075875352953e-14 1.526588185571210093e-16
3.133866881310131248e+03 2.243267970764314310e-14 1.559010469190613209e-16
3.139362444020468956e+03 2.191798723309302018e-14 1.595715715225714213e-16
3.144858006730806665e+03 2.289588124258857033e-14 1.512265873848614291e-16
