# obs_wvl flux error
1.663000000000000000e+03 9.879404016871137784e-14 2.118066532168401406e-14
1.665745586690181199e+03 1.103630930622637068e-13 1.359498407167181156e-14
1.668491173380362397e+03 9.430900422128712787e-14 1.238236573801450343e-14
1.671236760070543596e+03 1.114109468785661367e-13 1.181653440363497436e-14
1.673982346760724795e+03 9.444774234177664436e-14 1.414158776361534629e-14
1.676727933450905994e+03 8.813913209329815853e-14 1.031589269912822349e-14
1.679473520141087192e+03 8.032369083868104043e-14 9.806059867180581799e-15
1.682219106831268391e+03 1.136521740871900193e-13 9.799317363921574023e-15
1.684964693521449590e+03 6.728889380448744981e-13 2.699175261733155844e-14
1.687710280211630788e+03 1.623765986874527777e-13 1.554285273391881645e-14
1.690455866901811987e+03 1.172882497506943041e-13 8.171533704348114341e-15
1.693201453591993186e+03 1.216211162180100206e-13 8.079021215128376718e-15
1.695947040282174385e+03 1.566026005137073277e-13 7.941531188155948563e-15
1.698692626972355583e+03 9.496713153764546509e-14 7.717786248214981529e-15
1.701438213662536782e+03 1.108863194477902363e-13 6.756436841759321901e-15
1.704183800352717981e+03 1.087351366054112425e-13 6.541875917012440632e-15
1.706929387042899180e+03 1.054706946409671612e-13 6.266946700710757763e-15
1.709674973733080378e+03 1.285728364657865902e-13 6.716788488293570313e-15
1.712420560423261577e+03 9.204156456531722606e-14 6.633095457573767246e-15
1.715166147113442776e+03 1.100749674529588580e-13 6.038783224135006223e-15
1.717911733803623974e+03 1.150806171469170350e-13 5.805728160227659054e-15
1.720657320493805173e+03 1.133869158206636151e-13 8.475578832224865208e-15
1.723402907183986372e+03 1.268850848936442810e-13 5.706086811377851454e-15
1.726148493874167571e+03 9.963761039996724004e-14 7.108270005602223350e-15
1.728894080564348769e+03 1.499206846836536786e-13 9.071934969252926407e-15
1.731639667254529968e+03 1.108604772023223400e-13 5.667302486463448166e-15
1.734385253944711167e+03 1.159086756133175438e-13 5.088676832090145607e-15
1.737130840634892365e+03 1.120856698476327173e-13 5.412173145090872013e-15
1.739876427325073564e+03 1.160774481858459369e-13 6.234553148692744409e-15
1.742622014015254763e+03 1.220353430109420835e-13 5.237071453248543658e-15
1.745367600705435962e+03 1.234526421670224125e-13 5.171813837040002997e-15
1.748113187395617160e+03 1.206741041292559807e-13 5.474500990196003469e-15
1.750858774085798359e+03 1.451988013384718253e-13 4.792194300511249995e-15
1.753604360775979558e+03 1.284977660382726974e-13 4.566159792577129758e-15
1.756349947466160756e+03 1.361299070539823140e-13 4.798391463789593117e-15
1.759095534156341955e+03 3.329499710275277583e-13 1.262234404274429087e-14
1.761841120846523154e+03 1.736795005427905130e-13 4.869861169895178924e-15
1.764586707536704353e+03 1.505135249857613985e-13 4.614769644498612540e-15
1.767332294226885551e+03 1.458082429957556569e-13 4.765891219359376708e-15
1.770077880917066750e+03 1.511435359501624637e-13 4.854654041192295585e-15
1.772823467607247949e+03 1.167128263767240449e-13 7.026092915006082133e-15
1.775569054297429147e+03 1.325998001842985780e-13 4.297413526811343664e-15
1.778314640987610346e+03 1.396488307664712524e-13 4.302724028940796360e-15
1.781060227677791545e+03 1.428528609521380048e-13 4.526219285107939586e-15
1.783805814367972744e+03 1.340141267273793110e-13 4.138406001048087758e-15
1.786551401058153942e+03 1.332525761282786821e-13 3.947307436577893298e-15
1.789296987748335141e+03 1.288064900631880834e-13 4.388435720853209032e-15
1.792042574438516340e+03 1.561662788553687267e-13 6.014391549302667483e-15
1.794788161128697539e+03 1.361218421780089888e-13 3.864394662989978089e-15
1.797533747818878737e+03 1.317494524423639553e-13 4.038973060288296788e-15
1.800279334509059936e+03 1.760273206816457074e-13 6.855014474738353099e-15
1.803024921199241135e+03 1.109084935992992871e-13 3.967070920148941497e-15
1.805770507889422333e+03 1.110624688924713034e-13 3.508410325041554519e-15
1.808516094579603532e+03 9.683580918546606867e-14 3.567489714010512800e-15
1.811261681269784731e+03 1.049307734949012862e-13 3.589868329208576480e-15
1.814007267959965930e+03 7.110522620006391097e-14 6.226240103682836538e-15
1.816752854650147128e+03 1.012348363363629583e-13 3.230502916945779659e-15
1.819498441340328327e+03 9.410726500953562064e-14 3.170050202361525991e-15
1.822244028030509526e+03 1.030014988084000919e-13 3.222981006497140043e-15
1.824989614720690724e+03 9.132031696427244756e-14 3.953719421779598402e-15
1.827735201410871923e+03 1.071964835469642398e-13 3.290032368687142484e-15
1.830480788101053122e+03 1.063595275601406103e-13 3.221560355982094520e-15
1.833226374791234321e+03 1.056783023565831912e-13 3.016022765309359243e-15
1.835971961481415519e+03 1.025102866485670504e-13 3.523421329779598305e-15
1.838717548171596718e+03 1.126141482606812542e-13 3.284323707040102979e-15
1.841463134861777917e+03 1.044996039503183148e-13 3.005288897993408604e-15
1.844208721551959115e+03 1.055581735523529348e-13 2.917265326854258406e-15
1.846954308242140314e+03 1.134133250143826073e-13 2.981381907345925598e-15
1.849699894932321513e+03 1.024745453876405059e-13 2.820577266435683333e-15
1.852445481622502712e+03 9.746063244774911493e-14 3.011181205349247983e-15
1.855191068312683910e+03 9.967443532073286699e-14 2.835313128245558107e-15
1.857936655002865109e+03 1.077390416028262543e-13 2.766747568804994340e-15
1.860682241693046308e+03 1.119131652396501412e-13 2.790534788144045698e-15
1.863427828383227506e+03 1.106960036825929774e-13 2.718690884631498464e-15
1.866173415073408705e+03 1.149119275177996142e-13 2.744396033405262567e-15
1.868919001763589904e+03 1.132468103561578153e-13 2.945190038320487160e-15
1.871664588453771103e+03 1.108727982852068792e-13 2.699562760656035194e-15
1.874410175143952301e+03 1.171486479542379660e-13 2.663257786242191476e-15
1.877155761834133500e+03 1.015591087986653557e-13 2.619263258094818173e-15
1.879901348524314699e+03 1.037701880804508751e-13 2.608777241495589425e-15
1.882646935214495898e+03 1.127228407433265582e-13 2.566350068144173923e-15
1.885392521904677096e+03 1.170866824294026008e-13 2.545473365234825067e-15
1.888138108594858295e+03 1.097030271856881192e-13 2.466395775565729996e-15
1.890883695285039494e+03 1.216737120957037101e-13 2.597047352902824672e-15
1.893629281975220692e+03 3.561738772236830757e-13 5.912762780323495046e-15
1.896374868665401891e+03 1.214131514783492779e-13 2.774475088855935311e-15
1.899120455355583090e+03 1.239235591076014734e-13 2.591774403069082979e-15
1.901866042045764289e+03 1.216704265627591699e-13 2.428595808318175791e-15
1.904611628735945487e+03 1.290319371063904567e-13 2.461654386475198760e-15
1.907357215426126686e+03 1.196658543564639639e-13 2.494884403285638035e-15
1.910102802116307885e+03 1.281860809203460508e-13 2.429124497133636327e-15
1.912848388806489083e+03 1.277808717758694013e-13 2.805505208847180150e-15
1.915593975496670282e+03 1.375829438302164390e-13 2.704986861912482799e-15
1.918339562186851481e+03 1.430730918508773836e-13 2.565333859859287637e-15
1.921085148877032680e+03 1.354245933162077801e-13 2.634279796124862717e-15
1.923830735567213878e+03 1.452572568330693199e-13 2.779150691832664774e-15
1.926576322257395077e+03 1.448589696222987975e-13 2.470674047649688756e-15
1.929321908947576276e+03 1.450525768708455289e-13 2.579176350322194953e-15
1.932067495637757474e+03 1.486681066523054342e-13 2.438544952620159960e-15
1.934813082327938673e+03 1.438100344403477377e-13 2.419332580937766426e-15
1.937558669018119872e+03 1.417669911668632196e-13 2.447757883404520680e-15
1.940304255708301071e+03 1.296436096283235369e-13 2.237894118464488767e-15
1.943049842398482269e+03 1.316168759504473987e-13 2.507487679133094393e-15
1.945795429088663468e+03 1.313372908868489856e-13 2.176573940728162265e-15
1.948541015778844667e+03 1.239573255540275954e-13 2.117984501734082850e-15
1.951286602469025866e+03 1.261235715132441295e-13 2.129177017616933013e-15
1.954032189159207064e+03 1.231451841083458363e-13 2.095484806825425915e-15
1.956777775849388263e+03 1.287961378718932982e-13 2.091344398360728674e-15
1.959523362539569462e+03 1.245383022545138241e-13 2.124760009896696925e-15
1.962268949229750660e+03 1.292405735516388737e-13 2.545376887838989432e-15
1.965014535919931859e+03 1.312385385790807553e-13 2.077141505445614697e-15
1.967760122610113058e+03 1.337328784669451481e-13 2.136905511803245574e-15
1.970505709300294257e+03 1.343870627676672619e-13 2.060991830006701033e-15
1.973251295990475455e+03 1.399338906228811976e-13 2.060980065494288610e-15
1.975996882680656654e+03 1.420942943656872897e-13 2.162133090654514469e-15
1.978742469370837853e+03 1.407989252066293295e-13 2.127683436652007330e-15
1.981488056061019051e+03 1.424485199248070940e-13 2.044916066886087168e-15
1.984233642751200250e+03 1.391561245704334751e-13 1.999328339721212604e-15
1.986979229441381449e+03 1.463404491633148810e-13 2.097970766210259268e-15
1.989724816131562648e+03 1.443922248535005284e-13 1.988412360098736069e-15
1.992470402821743846e+03 1.378779291406314096e-13 2.055940941107027307e-15
1.995215989511925045e+03 1.448010341449436640e-13 1.982550015125744662e-15
1.997961576202106244e+03 1.398758504080035385e-13 2.109271769863565454e-15
2.000707162892287442e+03 1.414667674649403647e-13 2.021766839593361818e-15
2.003452749582468641e+03 1.397290694005333695e-13 1.872089518869935162e-15
2.006198336272649840e+03 1.319262970174438258e-13 2.114830842775760073e-15
2.008943922962831039e+03 1.334815064554164150e-13 1.846580493176589858e-15
2.011689509653012237e+03 1.337876849101799035e-13 1.814835513571602993e-15
2.014435096343193436e+03 1.335122465709743583e-13 2.469600896619418604e-15
2.017180683033374635e+03 1.248882749163770078e-13 1.755091229070294156e-15
2.019926269723555833e+03 1.295265760865988681e-13 1.748307889118721860e-15
2.022671856413737032e+03 1.344678073383543358e-13 1.772686690109758184e-15
2.025417443103918231e+03 1.244005540239084366e-13 1.851891469822916834e-15
2.028163029794099430e+03 1.233533461039569386e-13 1.680807201664429361e-15
2.030908616484280628e+03 1.329894797155663324e-13 1.736747496257453677e-15
2.033654203174461827e+03 1.315037046532931615e-13 1.801097912490797544e-15
2.036399789864643026e+03 1.304080958043457451e-13 1.681274014936749991e-15
2.039145376554824225e+03 1.335076994182030298e-13 1.690953053357343930e-15
2.041890963245005423e+03 1.369903353055699305e-13 1.659909613389291042e-15
2.044636549935186622e+03 1.389658188341392702e-13 2.316883610495832243e-15
2.047382136625367821e+03 1.378309544422048250e-13 1.633850827987097709e-15
2.050127723315548792e+03 1.389385118500008903e-13 1.645764633527631646e-15
2.052873310005730218e+03 1.393561592250920460e-13 1.816086295084434711e-15
2.055618896695911644e+03 1.434414268885721168e-13 1.983764454843574898e-15
2.058364483386092616e+03 1.377534546343594201e-13 1.875406599978689376e-15
2.061110070076273587e+03 1.397640166106196251e-13 1.633595292926789743e-15
2.063855656766455013e+03 1.412743089134926935e-13 1.597993993925467938e-15
2.066601243456636439e+03 1.496562575277438325e-13 1.750418540059646975e-15
2.069346830146817410e+03 2.605526421801483677e-13 2.161874833373497082e-15
2.072092416836998382e+03 1.601155862873465382e-13 1.613694787896733654e-15
2.074838003527179808e+03 1.597842053223614034e-13 1.603759990516312474e-15
2.077583590217361234e+03 1.638404574039836201e-13 1.604049837226914432e-15
2.080329176907542205e+03 1.622535447292658423e-13 1.594248158826056010e-15
2.083074763597723177e+03 1.658741755777116346e-13 1.630767816255004602e-15
2.085820350287904603e+03 1.647463480925064553e-13 1.616390973838357790e-15
2.088565936978086029e+03 1.625484450442418389e-13 1.568812346875691848e-15
2.091311523668267000e+03 1.674485086921351728e-13 1.572002438118466417e-15
2.094057110358447972e+03 1.651834735236517592e-13 1.540821272665922521e-15
2.096802697048629398e+03 1.666346160377092626e-13 1.602263021809372172e-15
2.099548283738810824e+03 1.645395182533821703e-13 1.562663731361993748e-15
2.102293870428991795e+03 1.621258027427562872e-13 1.516573855845699128e-15
2.105039457119172766e+03 1.616764673325734935e-13 1.472457264920715897e-15
2.107785043809354192e+03 1.575663944057597670e-13 1.672142449548366624e-15
2.110530630499535619e+03 1.598549651716712578e-13 1.607675082206803892e-15
2.113276217189716590e+03 1.559080147079131041e-13 1.773884978561320677e-15
2.116021803879897561e+03 1.557375002645725845e-13 1.407714137785553839e-15
2.118767390570078987e+03 1.522843947958381085e-13 1.371282026701251610e-15
2.121512977260260413e+03 1.568333243207829099e-13 1.392988215538875920e-15
2.124258563950441385e+03 1.536913840336236526e-13 1.358318270283302697e-15
2.127004150640622356e+03 1.567309687464276677e-13 1.464018751326702229e-15
2.129749737330803782e+03 1.525673233258042580e-13 1.380007192814194254e-15
2.132495324020985208e+03 1.566422526756192285e-13 1.332486344756186909e-15
2.135240910711166180e+03 1.653252652806304653e-13 1.408866091527076613e-15
2.137986497401347151e+03 1.569758416218238508e-13 1.357713010050046103e-15
2.140732084091528577e+03 1.638034159743704870e-13 1.466372375813159368e-15
2.143477670781710003e+03 1.662740112838456574e-13 1.339018538870861261e-15
2.146223257471890975e+03 1.661783895032865788e-13 1.318432499706923335e-15
2.148968844162071946e+03 1.627912908421872850e-13 1.307576161002374334e-15
2.151714430852253372e+03 1.614863303990085655e-13 1.483722985090071185e-15
2.154460017542434798e+03 1.635403832267520626e-13 1.440192941937203459e-15
2.157205604232615769e+03 1.608127175771624781e-13 1.402386511066911234e-15
2.159951190922796741e+03 1.562159732040106145e-13 1.240461385681439539e-15
2.162696777612978167e+03 1.564809418239104185e-13 1.277955091237069051e-15
2.165442364303159593e+03 1.536219528344820139e-13 1.203897403049583194e-15
2.168187950993340564e+03 1.516612055908386537e-13 1.205517467293909276e-15
2.170933537683521536e+03 1.523397991172527026e-13 1.186772994751995155e-15
2.173679124373702962e+03 1.481968387318737609e-13 1.170651875570804229e-15
2.176424711063884388e+03 1.507299106762266217e-13 1.177424278219125334e-15
2.179170297754065359e+03 1.514797295629782654e-13 1.194516101019621105e-15
2.181915884444246331e+03 1.512583670774405955e-13 1.164035493472172163e-15
2.184661471134427757e+03 1.544455453803869880e-13 1.150484705013822866e-15
2.187407057824609183e+03 1.543777662728150161e-13 1.152132631990818061e-15
2.190152644514790154e+03 1.531505071545045799e-13 1.154703840952568581e-15
2.192898231204971125e+03 1.525261959393592001e-13 1.135591647132541568e-15
2.195643817895152552e+03 1.541213898905418444e-13 1.141924025368764952e-15
2.198389404585333978e+03 1.508548372580368966e-13 1.108779006855149622e-15
2.201134991275514949e+03 1.495406089632152490e-13 1.098409933247307309e-15
2.203880577965695920e+03 1.501361679132499509e-13 1.092781094804945641e-15
2.206626164655877346e+03 1.501215942827049523e-13 1.113190992467431748e-15
2.209371751346058772e+03 1.472838070358769718e-13 1.118475399389587935e-15
2.212117338036239744e+03 1.554644390390700120e-13 1.090294214050091409e-15
2.214862924726420715e+03 1.512101961422785075e-13 1.087146095893678469e-15
2.217608511416602141e+03 1.527290564355233050e-13 1.067385746232241116e-15
2.220354098106783567e+03 1.570690269986238842e-13 1.092671358061766010e-15
2.223099684796964539e+03 1.597710553124619005e-13 1.087358724526877532e-15
2.225845271487145510e+03 1.601766585328334488e-13 1.078512593786182065e-15
2.228590858177326936e+03 1.593134472931074377e-13 1.075191874053737167e-15
2.231336444867508362e+03 1.574348177656819772e-13 1.192289216278435514e-15
2.234082031557689334e+03 1.573272807577415235e-13 1.052488695540244792e-15
2.236827618247870305e+03 1.610470374254677772e-13 1.067362222001903607e-15
2.239573204938051731e+03 1.615844634409827019e-13 1.058355669561742896e-15
2.242318791628233157e+03 1.572354261611693039e-13 1.071991418062025561e-15
2.245064378318414128e+03 1.560679512869721806e-13 1.039089820485958159e-15
2.247809965008595100e+03 1.535065246802512315e-13 1.059861485593408544e-15
2.250555551698776526e+03 1.486813334701676473e-13 1.027523188251902179e-15
2.253301138388957952e+03 1.479305269910213180e-13 9.811104884317512179e-16
2.256046725079138923e+03 1.568426271485420833e-13 1.024587339438694538e-15
2.258792311769319895e+03 1.550398937292136318e-13 9.994113889636899449e-16
2.261537898459501321e+03 1.486291426266255731e-13 9.907197938581669226e-16
2.264283485149682747e+03 1.453589387244319471e-13 9.778115855259015355e-16
2.267029071839863718e+03 1.517298522299081487e-13 1.007146307721116608e-15
2.269774658530044690e+03 1.524566036068495156e-13 9.792059015330816892e-16
2.272520245220226116e+03 1.491786256970752253e-13 9.513684468912395882e-16
2.275265831910407542e+03 1.476794109417635809e-13 9.917087101669516936e-16
2.278011418600588513e+03 1.478680167562866385e-13 9.470816744916829734e-16
2.280757005290769484e+03 1.423931724738689695e-13 9.533578985528985254e-16
2.283502591980950911e+03 1.392482334972728187e-13 9.443431329024895598e-16
2.286248178671132337e+03 1.428972074831242236e-13 9.302169106813185756e-16
2.288993765361313308e+03 1.410011334664231829e-13 9.130972695222282518e-16
2.291739352051494279e+03 1.402237370806094017e-13 9.010372533305881423e-16
2.294484938741675705e+03 1.386632284913806615e-13 9.117622954236808526e-16
2.297230525431857131e+03 1.387117203167003046e-13 8.797713014801619606e-16
2.299976112122038103e+03 1.424420682427884939e-13 9.132217266956229515e-16
2.302721698812219074e+03 1.419073985642812928e-13 8.791195634184515774e-16
2.305467285502400500e+03 1.421119816054643287e-13 8.766028250866242929e-16
2.308212872192581926e+03 1.424146897013588670e-13 8.850515707823964543e-16
2.310958458882762898e+03 1.429902709538243614e-13 8.715738167269908439e-16
2.313704045572943869e+03 1.416846846140361242e-13 8.638539276152894655e-16
2.316449632263125295e+03 1.441289482681128447e-13 8.637118978487841409e-16
2.319195218953306721e+03 1.410304246431879878e-13 8.614151966853647213e-16
2.321940805643487693e+03 1.404072726536376161e-13 9.084495720295256026e-16
2.324686392333668664e+03 1.406199498989757028e-13 8.769049031879805001e-16
2.327431979023850090e+03 1.408435778471750832e-13 8.516183816900815544e-16
