# obs_wvl flux error
2.968000000000000000e+03 1.462691691544055397e-14 3.344335210035435337e-16
2.970747405158364018e+03 1.456300460728411297e-14 2.384367698193760716e-16
2.973494810316728035e+03 1.459376297398222366e-14 2.303456523876202852e-16
2.976242215475092053e+03 1.504635043908551808e-14 2.313908368188746629e-16
2.978989620633456070e+03 1.492680196815535521e-14 2.249004366507385162e-16
2.981737025791820088e+03 1.479605627303723986e-14 2.611466049973918615e-16
2.984484430950184105e+03 1.460261175007458890e-14 2.406189188669331976e-16
2.987231836108548123e+03 1.425763890365729453e-14 2.144417625375279552e-16
2.989979241266912140e+03 1.405243929639530813e-14 2.091318971693485934e-16
2.992726646425276158e+03 1.331545997689041013e-14 2.027673671285365622e-16
2.995474051583640176e+03 1.299823082185477888e-14 2.006388497231509192e-16
2.998221456742004193e+03 1.271001277641641426e-14 1.972845208093709906e-16
3.000968861900368211e+03 1.260936038329337850e-14 2.042406303475065177e-16
3.003716267058732228e+03 1.315485175427572870e-14 3.584826712984942594e-16
3.006463672217096246e+03 1.252175960959730094e-14 2.514606920561669570e-16
3.009211077375460263e+03 1.206637315652729141e-14 1.872213461019377031e-16
3.011958482533824281e+03 1.255796115875362662e-14 1.875687556385996032e-16
3.014705887692188298e+03 1.246869310807757724e-14 2.308631286980271289e-16
3.017453292850552316e+03 1.216888632484007057e-14 1.976120375287151763e-16
3.020200698008916333e+03 1.233438074262436169e-14 1.814790131138963122e-16
3.022948103167280351e+03 1.257913673058079344e-14 1.852125224651943431e-16
3.025695508325644369e+03 1.243939353048235899e-14 1.805755123831759981e-16
3.028442913484008386e+03 1.245061706144048614e-14 1.748135370470952119e-16
3.031190318642372404e+03 1.247530283549740843e-14 1.745561504021057719e-16
3.033937723800736421e+03 1.280699469594443553e-14 1.738025019627121890e-16
3.036685128959100439e+03 1.251496792107777203e-14 1.700927106308307411e-16
3.039432534117464456e+03 1.236920856780174200e-14 1.691403441456421533e-16
3.042179939275828474e+03 1.277942249245309240e-14 1.689556704183277156e-16
3.044927344434192491e+03 1.246816095943116904e-14 1.626819636245347094e-16
3.047674749592556509e+03 1.250342987590346873e-14 1.643828337724223885e-16
3.050422154750920527e+03 1.253259975507470454e-14 1.598960066659766343e-16
3.053169559909284544e+03 1.247749473715136556e-14 1.576917107992358484e-16
3.055916965067648562e+03 1.224291857780755677e-14 1.673719917884973661e-16
3.058664370226012579e+03 1.196826204068583150e-14 1.554565837939738822e-16
3.061411775384376597e+03 1.218338645959387626e-14 1.605522016001798314e-16
3.064159180542740614e+03 1.224838758758403919e-14 1.580987110260805064e-16
3.066906585701104632e+03 1.207980355884983738e-14 1.537751002460768031e-16
3.069653990859468649e+03 1.217515788384570875e-14 1.488516252716980147e-16
3.072401396017832667e+03 1.207664915415490167e-14 1.623782910944296528e-16
3.075148801176196685e+03 1.206090570119903916e-14 1.503028271810541737e-16
3.077896206334560702e+03 1.206244373607170752e-14 1.493063589932326327e-16
3.080643611492924720e+03 1.229601614005032585e-14 1.567111883149518580e-16
3.083391016651288737e+03 1.250342591970707432e-14 1.765252291717607627e-16
3.086138421809652755e+03 1.208207162782821704e-14 1.606883146592105966e-16
3.088885826968016772e+03 1.174666024708462155e-14 1.444833322973659889e-16
3.091633232126380790e+03 1.180829890098314237e-14 1.462092601633588678e-16
3.094380637284744807e+03 1.200805446213893711e-14 1.434276759280954418e-16
3.097128042443108825e+03 1.160601307629812709e-14 1.432433291563997688e-16
3.099875447601472843e+03 1.162438195443999811e-14 1.398491569404210469e-16
3.102622852759836860e+03 1.194988195515372737e-14 1.419791028558946521e-16
3.105370257918200878e+03 1.180995706990742446e-14 1.396631860017096082e-16
3.108117663076564895e+03 1.200807354311025180e-14 1.380355405416030154e-16
3.110865068234928913e+03 1.242668711474224572e-14 1.389898892708451037e-16
3.113612473393292930e+03 1.278736093657461628e-14 1.755730241505869293e-16
3.116359878551656948e+03 1.260918786997071164e-14 1.524008353242733978e-16
3.119107283710020965e+03 1.253928377327332529e-14 1.391182695447364119e-16
3.121854688868384983e+03 1.259335211004194435e-14 1.381222494237349426e-16
3.124602094026749000e+03 1.277458749091182976e-14 1.398456098721989828e-16
3.127349499185113018e+03 1.310463187796412648e-14 1.432015694736495492e-16
3.130096904343477036e+03 1.342285508041320678e-14 1.453292954311150639e-16
3.132844309501841053e+03 1.359159154454107401e-14 1.469906490624630761e-16
3.135591714660205071e+03 1.334305123372576276e-14 1.389726513944469487e-16
3.138339119818569088e+03 1.352548804716022061e-14 1.567403301099489911e-16
3.141086524976933106e+03 1.359352924255030444e-14 1.499020286009992962e-16
3.143833930135297123e+03 1.363564418754279222e-14 1.399168150528636353e-16
3.146581335293661141e+03 1.370180884416872312e-14 1.428344546895909323e-16
3.149328740452025158e+03 1.423366570056781182e-14 1.421932282205092729e-16
3.152076145610389176e+03 1.454177504799912167e-14 1.417472472273960619e-16
3.154823550768753194e+03 1.463968676855656365e-14 1.404380483894635001e-16
3.157570955927117211e+03 1.496288985757042248e-14 1.426405404962245589e-16
3.160318361085481229e+03 1.536177897866511985e-14 1.528723707592562367e-16
3.163065766243845246e+03 1.566736657556939610e-14 1.456005065342200976e-16
3.165813171402209264e+03 1.565536413136758789e-14 1.413392534019907639e-16
3.168560576560573281e+03 1.615520347261096676e-14 1.420565976014577491e-16
3.171307981718937299e+03 1.653743733111728309e-14 1.433098754178501832e-16
3.174055386877301316e+03 1.653655572281291374e-14 1.441819257675753489e-16
3.176802792035665334e+03 1.694683550737561113e-14 1.444132147965474494e-16
3.179550197194029352e+03 1.744465942028517623e-14 1.459722555080463877e-16
3.182297602352393369e+03 1.749010191468173999e-14 1.429694604048341056e-16
3.185045007510757387e+03 1.765536141720076449e-14 1.541629476737879667e-16
3.187792412669121404e+03 1.764202440835064436e-14 1.445819518840681219e-16
3.190539817827485422e+03 1.752937766432243130e-14 1.403535865743203391e-16
3.193287222985849439e+03 1.743762649847374737e-14 1.397546711500359898e-16
3.196034628144213457e+03 1.719867501192513197e-14 1.385744425581097527e-16
3.198782033302577474e+03 1.716527066387716659e-14 1.410165184092127126e-16
3.201529438460941492e+03 1.676597341114426004e-14 1.363599641998232721e-16
3.204276843619305509e+03 1.677999098083775821e-14 1.708105014514063627e-16
3.207024248777669527e+03 1.641704583377088565e-14 1.485109579991742661e-16
3.209771653936033545e+03 1.602812469720126563e-14 1.329469286346367412e-16
3.212519059094397562e+03 1.570457844370433735e-14 1.328739844669094199e-16
3.215266464252761580e+03 1.541206277027141244e-14 1.380833289707580499e-16
3.218013869411125597e+03 1.542616611355780792e-14 1.305121722404208108e-16
3.220761274569489615e+03 1.534850333108462558e-14 1.273156943462938715e-16
3.223508679727853632e+03 1.510621805308458726e-14 1.350584196562662438e-16
3.226256084886217650e+03 1.469981081632248742e-14 1.295896214799707236e-16
3.229003490044581667e+03 1.469326235000363785e-14 1.246922830451873124e-16
3.231750895202945685e+03 1.443184065320847057e-14 1.298671140796420757e-16
3.234498300361309703e+03 1.426328329001771891e-14 1.236170164878226252e-16
3.237245705519673720e+03 1.418289183286866041e-14 1.266178727488189943e-16
3.239993110678037738e+03 1.403967168099415417e-14 1.358473371991922151e-16
3.242740515836401755e+03 1.361966672656665142e-14 1.213875715681853006e-16
3.245487920994765773e+03 1.334492578959354066e-14 1.176581687207300382e-16
3.248235326153129790e+03 1.352348971050870961e-14 1.184990863805091675e-16
3.250982731311493808e+03 1.316043585765246796e-14 1.157226188994751706e-16
3.253730136469857825e+03 1.322276649866032163e-14 1.245346268220626304e-16
3.256477541628221843e+03 1.313541688083318200e-14 1.176091123189245120e-16
3.259224946786585861e+03 1.309309855191497559e-14 1.145478467287736126e-16
3.261972351944949878e+03 1.299579376181758267e-14 1.175560375077321481e-16
3.264719757103313896e+03 1.303190770621437919e-14 1.198057285145343118e-16
3.267467162261677913e+03 1.298132140743732759e-14 1.151409996128837186e-16
3.270214567420041931e+03 1.291395761963158553e-14 1.185023480728272286e-16
3.272961972578405948e+03 1.289521840885518140e-14 1.146890487038148758e-16
3.275709377736769966e+03 1.273157788779407480e-14 1.114943543669842790e-16
3.278456782895133983e+03 1.260872688213017200e-14 1.124542470421178237e-16
3.281204188053498001e+03 1.238426704280181001e-14 1.109830573867101176e-16
3.283951593211862019e+03 1.248693926677095512e-14 1.109573280542688038e-16
3.286698998370226036e+03 1.274716075817884292e-14 1.111414336087943719e-16
3.289446403528590054e+03 1.234394608820571423e-14 1.079019120172235122e-16
3.292193808686954071e+03 1.227067498184789341e-14 1.090564971215380329e-16
3.294941213845318089e+03 1.265095576992969824e-14 1.095107273061546107e-16
3.297688619003682106e+03 1.266109243126090616e-14 1.085604559091156134e-16
3.300436024162046124e+03 1.274556873869513451e-14 1.087153622334710949e-16
3.303183429320410141e+03 1.279810599792489344e-14 1.086336362466361005e-16
3.305930834478774159e+03 1.255451763128619507e-14 1.077013010679884699e-16
3.308678239637138176e+03 1.249962779830467751e-14 1.083499100534428162e-16
3.311425644795502194e+03 1.290484824085859637e-14 1.127062752139858337e-16
3.314173049953866212e+03 1.310542432479952035e-14 1.093368135029927111e-16
3.316920455112230229e+03 1.351347866616208350e-14 1.111789119867766725e-16
3.319667860270594247e+03 1.365485765064322457e-14 1.102287289778755139e-16
3.322415265428958264e+03 1.357017990767394735e-14 1.116339721896382087e-16
3.325162670587322282e+03 1.383447220274537691e-14 1.253472802079659975e-16
3.327910075745686299e+03 1.415449373385818960e-14 1.166965792290322622e-16
3.330657480904050317e+03 1.430029329191723068e-14 1.130073449308395498e-16
3.333404886062414334e+03 1.413762038573508454e-14 1.116663044070773997e-16
3.336152291220778352e+03 1.411022835137765803e-14 1.101074643895574705e-16
3.338899696379142370e+03 1.430106890509536587e-14 1.092194125290047121e-16
3.341647101537506387e+03 1.427479578433465807e-14 1.092250547439451966e-16
3.344394506695870405e+03 1.454017281399235804e-14 1.115693121483821697e-16
3.347141911854234422e+03 4.138374390236852087e-14 2.302477593633439918e-16
3.349889317012598440e+03 2.750313866812316826e-14 1.470281343789466568e-16
3.352636722170962457e+03 1.420833132838024377e-14 1.073502506047566959e-16
3.355384127329326475e+03 1.432970876762995035e-14 1.080342480035220165e-16
3.358131532487690492e+03 1.428598064504982934e-14 1.076068648547032693e-16
3.360878937646054510e+03 1.446006764476232127e-14 1.100367975883941389e-16
3.363626342804418528e+03 1.453614465654083578e-14 1.076874256508258399e-16
3.366373747962782545e+03 1.449535930910498904e-14 1.065969553224668779e-16
3.369121153121146563e+03 1.459214211021496944e-14 1.160360607079630001e-16
3.371868558279510580e+03 1.473650929923050666e-14 1.114882847929574910e-16
3.374615963437874598e+03 1.504284658570270083e-14 1.084856815020217221e-16
3.377363368596238615e+03 1.523558347623243495e-14 1.078043705741651977e-16
3.380110773754602633e+03 1.553073015073721951e-14 1.084139422564044863e-16
3.382858178912966650e+03 1.557695415007761056e-14 1.081483504443441531e-16
3.385605584071330668e+03 1.571849857539598410e-14 1.095096436055887991e-16
3.388352989229694685e+03 1.444867959519626505e-14 1.662714463235496919e-16
3.391100394388058703e+03 1.630977490290311055e-14 1.353070154297473301e-16
3.393847799546422721e+03 1.774995531920558734e-14 1.167264946268094947e-16
3.396595204704786738e+03 1.829777330934163889e-14 1.161399820935996215e-16
3.399342609863150756e+03 1.884533380366350534e-14 1.182284990156274867e-16
3.402090015021514773e+03 1.931138076247241876e-14 1.163252184942791827e-16
3.404837420179878791e+03 1.963247536596204656e-14 1.162403527250264210e-16
3.407584825338242808e+03 2.021081810839543726e-14 1.174970503308610825e-16
3.410332230496606826e+03 2.069219054590552770e-14 1.236664946833120469e-16
3.413079635654970843e+03 2.075490334641091862e-14 1.228133470492746154e-16
3.415827040813334861e+03 2.080823134632296771e-14 1.191267911322653310e-16
3.418574445971698879e+03 2.118729038418095759e-14 1.214164076066239583e-16
3.421321851130062896e+03 2.087596331981397980e-14 1.179187724383966196e-16
3.424069256288426914e+03 2.195061622375789985e-14 1.399272214037339727e-16
3.426816661446790931e+03 2.212618570850188678e-14 1.295604206094460070e-16
3.429564066605154949e+03 2.162942514438838056e-14 1.241950432666174750e-16
3.432311471763518966e+03 2.189017760736343427e-14 1.301974175521045557e-16
3.435058876921882984e+03 2.174873286307566432e-14 1.254937652636258331e-16
3.437806282080247001e+03 2.158248100560669894e-14 1.201455929392625712e-16
3.440553687238611019e+03 2.144058295149899553e-14 1.171830992797564567e-16
3.443301092396975037e+03 2.155724536384177374e-14 1.176340253588688402e-16
3.446048497555339054e+03 2.179845804833730601e-14 1.200649905046997338e-16
3.448795902713703072e+03 2.216943314576815373e-14 1.212536974670053976e-16
3.451543307872067089e+03 2.234109789526701174e-14 1.188023209644249112e-16
3.454290713030431107e+03 2.212371613950385817e-14 1.193086364500427839e-16
3.457038118188795124e+03 2.249986598061103040e-14 1.185269109997226752e-16
3.459785523347159142e+03 2.252506639166265024e-14 1.193025062593779571e-16
3.462532928505523159e+03 2.263227831255363952e-14 1.178032047219609953e-16
3.465280333663887177e+03 2.263225660508918595e-14 1.170560694093398702e-16
3.468027738822251195e+03 2.249334781668103552e-14 1.165799151328044411e-16
3.470775143980615212e+03 2.245293591352399776e-14 1.177000966681884552e-16
3.473522549138979230e+03 2.244671313863297986e-14 1.160833888068399290e-16
3.476269954297343247e+03 2.247363212542262702e-14 1.160377101358286358e-16
3.479017359455707265e+03 2.227863038379251942e-14 1.152210859780058661e-16
3.481764764614071282e+03 2.224467401977327456e-14 1.152277346244418015e-16
3.484512169772435300e+03 2.246958833184645935e-14 1.157448393143560711e-16
3.487259574930799317e+03 2.258159895347935716e-14 1.158348151521217642e-16
3.490006980089163335e+03 2.283870092156638506e-14 1.232610144757105141e-16
3.492754385247527352e+03 2.320748308396684546e-14 1.185737793825501945e-16
3.495501790405891370e+03 2.364014611639237784e-14 1.183531046067024733e-16
3.498249195564255388e+03 2.401633201517430033e-14 1.190681854537921978e-16
3.500996600722619405e+03 2.412280621777922274e-14 1.184209435710580582e-16
3.503744005880983423e+03 2.492345744469565843e-14 1.209104545546879139e-16
3.506491411039347440e+03 2.590143528200644478e-14 1.221621878119886185e-16
3.509238816197711458e+03 2.658167311931479909e-14 1.245101031113574217e-16
3.511986221356075475e+03 2.726014067453228390e-14 1.244568394949759392e-16
3.514733626514439493e+03 2.805815752435295301e-14 1.264215268115753983e-16
3.517481031672803510e+03 2.876182982906980898e-14 1.290999286025810320e-16
3.520228436831167528e+03 2.970533031463186010e-14 1.319983487944736869e-16
3.522975841989531546e+03 3.037479680561825656e-14 1.329151797390255381e-16
3.525723247147895563e+03 3.075562183721364770e-14 1.329746148832739051e-16
3.528470652306259581e+03 3.078429090391624294e-14 1.369356386846915456e-16
3.531218057464623598e+03 3.134898675075859509e-14 1.332127577819987874e-16
3.533965462622987616e+03 3.152770709460403228e-14 1.406099926192854891e-16
3.536712867781351633e+03 3.216635096456121030e-14 1.359200892944931272e-16
3.539460272939715651e+03 3.230055698009361192e-14 1.317730447844931240e-16
3.542207678098079668e+03 3.222872258071749576e-14 1.315150402319184214e-16
3.544955083256443686e+03 3.248219981234602577e-14 1.322587253726834914e-16
3.547702488414807704e+03 3.247863217254639505e-14 1.318683443065423926e-16
3.550449893573171721e+03 3.269787825968808031e-14 1.323855760400948370e-16
3.553197298731535739e+03 3.302377617750769757e-14 1.334223201413962254e-16
3.555944703889899756e+03 3.361645341689945870e-14 1.338947234755464212e-16
3.558692109048263774e+03 3.387420288451222675e-14 1.344999804947932764e-16
3.561439514206627791e+03 3.451301474568931478e-14 1.353522473825333456e-16
3.564186919364991809e+03 3.498365835447225331e-14 1.355643674265366187e-16
3.566934324523355826e+03 3.504861339684063412e-14 1.351249822477741303e-16
3.569681729681719844e+03 3.512935755358218089e-14 1.352870103679838379e-16
3.572429134840083861e+03 3.510782903034150356e-14 1.354212695892434376e-16
3.575176539998447879e+03 3.504943999936243574e-14 1.467983082248798959e-16
3.577923945156811897e+03 3.563548595036029516e-14 1.405541995478218666e-16
3.580671350315175914e+03 3.595377510513189946e-14 1.361613312658836992e-16
3.583418755473539932e+03 3.576091087479488489e-14 1.373353046806461659e-16
