# obs_wvl flux error
3.700551932655036126e+03 1.235513226769526205e-14 1.391521682932850139e-09
3.701103865310072251e+03 7.732237200588190572e-15 2.962868767956163342e-16
3.701655797965108377e+03 8.090397157999137537e-15 1.276018811233362028e-16
3.702207730620144503e+03 8.282578985226298126e-15 1.291878405075242433e-16
3.702759663275180628e+03 9.578523589947923579e-15 1.346923831626472433e-16
3.703311595930216754e+03 8.284501536060140841e-15 1.359882192697322236e-16
3.703863528585252880e+03 9.406447618629253274e-15 1.373041107837443604e-16
3.704415461240289005e+03 7.415814188157467970e-15 1.229253053298366629e-16
3.704967393895325131e+03 9.423815548697101723e-15 1.303430894771117824e-16
3.705519326550361257e+03 9.217034595208119422e-15 1.255154250576842475e-16
3.706071259205397382e+03 7.754174314771049244e-15 1.226362908506552241e-16
3.706623191860433508e+03 7.120833431366069205e-15 1.184944000282418862e-16
3.707175124515469633e+03 8.514788499925729469e-15 1.264360982394562991e-16
3.707727057170505759e+03 8.312923877281595069e-15 1.236955479829141517e-16
3.708278989825541885e+03 8.601457824708898831e-15 1.254142220126467170e-16
3.708830922480578010e+03 7.639595433391279669e-15 1.183393634853615049e-16
3.709382855135614136e+03 7.925405872430628251e-15 1.205050602761676175e-16
3.709934787790650262e+03 7.815253759303859685e-15 1.189949012173834286e-16
3.710486720445686387e+03 8.318857045745578660e-15 1.225870814218821851e-16
3.711038653100722513e+03 8.445396915371702673e-15 1.236454737804218282e-16
3.711590585755758639e+03 8.522138279609317805e-15 1.211804657935175699e-16
3.712142518410794764e+03 8.377418773580390943e-15 1.250923505917386395e-16
3.712694451065830890e+03 7.432267333774207242e-15 1.288767062745751986e-16
3.713246383720867016e+03 7.351192540916097642e-15 1.163591393823050626e-16
3.713798316375903141e+03 1.010984898018380871e-14 1.347230415597554964e-16
3.714350249030939267e+03 1.052874834279689219e-14 1.329089218038113638e-16
3.714902181685975393e+03 8.695679735101995943e-15 1.180234241475807368e-16
3.715454114341011518e+03 7.605790418690516933e-15 1.145987295420378557e-16
3.716006046996047644e+03 7.938816741121707043e-15 1.156919423062149211e-16
3.716557979651083770e+03 7.761290610828622090e-15 1.144221554056616379e-16
3.717109912306119895e+03 8.247737421462554291e-15 1.172460470215298570e-16
3.717661844961156021e+03 8.997336726170887486e-15 1.209973742305596652e-16
3.718213777616192147e+03 8.572119155092397208e-15 1.180571196082710167e-16
3.718765710271228272e+03 8.787163251736922611e-15 1.171537022038131895e-16
3.719317642926264398e+03 8.952082792000980004e-15 1.208703502801881743e-16
3.719869575581300523e+03 7.966455908936991420e-15 1.144578039495006955e-16
3.720421508236336649e+03 7.956022673484829106e-15 1.210173111960770018e-16
3.720973440891372775e+03 8.414213263261652022e-15 1.163683949825301070e-16
3.721525373546408900e+03 9.299809866904378825e-15 1.242065180942219622e-16
3.722077306201445026e+03 8.198211816922859520e-15 1.147968189564005428e-16
3.722629238856481152e+03 9.688322187786331680e-15 1.251408451012413672e-16
